Any,id_rs,rs,id_aga,aga,sexe,edat,Nse_baix,Nou_pacient,pcsm,pccsm,pacients,visites,Poblacio
2016,61,LLEIDA,5,Lleida,1,65-74,1,0,1,0,47,182,15744
2016,61,LLEIDA,5,Lleida,1,65-74,1,0,1,1,138,630,15744
2016,61,LLEIDA,5,Lleida,1,65-74,1,1,0,0,60,154,15744
2016,61,LLEIDA,5,Lleida,1,65-74,1,1,1,0,8,18,15744
2016,61,LLEIDA,5,Lleida,1,65-74,1,1,1,1,36,127,15744
2016,61,LLEIDA,5,Lleida,1,75+,0,0,0,0,79,201,20978
2016,61,LLEIDA,5,Lleida,1,75+,0,0,1,0,22,63,20978
2016,61,LLEIDA,5,Lleida,1,75+,0,0,1,1,153,537,20978
2016,61,LLEIDA,5,Lleida,1,75+,0,1,0,0,51,103,20978
2016,61,LLEIDA,5,Lleida,1,75+,0,1,1,0,5,14,20978
2016,61,LLEIDA,5,Lleida,1,75+,0,1,1,1,58,139,20978
2016,61,LLEIDA,5,Lleida,1,75+,1,0,0,0,87,276,20978
2016,61,LLEIDA,5,Lleida,1,75+,1,0,1,0,20,81,20978
2016,61,LLEIDA,5,Lleida,1,75+,1,0,1,1,115,379,20978
2016,61,LLEIDA,5,Lleida,1,75+,1,1,0,0,34,78,20978
2016,61,LLEIDA,5,Lleida,1,75+,1,1,1,0,8,19,20978
2016,61,LLEIDA,5,Lleida,1,75+,1,1,1,1,33,106,20978
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,<6,0,1,0,0,3,3,1889
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,<6,0,1,1,0,1,3,1889
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,<6,1,1,0,0,3,5,1889
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,0,0,0,0,31,168,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,0,0,1,0,30,285,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,0,0,1,1,18,282,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,0,1,0,0,18,57,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,0,1,1,0,4,10,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,0,1,1,1,7,68,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,1,0,0,0,10,125,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,1,0,1,0,5,25,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,1,0,1,1,8,99,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,1,1,0,0,4,20,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,13-17,1,1,1,1,1,16,1598
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,0,0,0,0,4,30,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,0,0,1,0,6,28,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,0,0,1,1,12,118,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,0,1,0,0,4,22,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,0,1,1,1,3,22,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,1,0,0,0,1,4,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,1,0,1,0,2,13,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,1,0,1,1,4,65,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,1,1,1,0,1,12,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,18-24,1,1,1,1,3,22,1976
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,0,0,0,0,5,43,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,0,0,1,0,2,8,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,0,0,1,1,14,249,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,0,1,0,0,1,1,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,0,1,1,0,1,5,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,0,1,1,1,8,59,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,1,0,0,0,1,11,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,1,0,1,1,19,395,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,1,1,1,0,1,1,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,25-34,1,1,1,1,2,32,3536
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,0,0,0,0,6,60,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,0,0,1,0,9,88,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,0,0,1,1,50,884,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,0,1,0,0,12,40,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,0,1,1,0,3,17,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,0,1,1,1,7,46,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,1,0,0,0,2,15,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,1,0,1,1,15,265,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,1,1,0,0,1,7,5406
2016,62,CAMP DE TARRAGONA,6,Alt Camp i Conca de Barber?,0,35-44,1,1,1,0,1,2,5406
