"","any","id_rs","rs","id_aga","aga","sexe","grup_edat","nse_baix","nou_pacient","pcsm","pccsm","pacients","visites"
"155",2016,"61","LLEIDA","05","Lleida",1,"25-34",1,1,1,0,9,41
"156",2016,"61","LLEIDA","05","Lleida",1,"25-34",1,1,1,1,9,40
"157",2016,"61","LLEIDA","05","Lleida",1,"35-44",0,0,0,0,210,906
"158",2016,"61","LLEIDA","05","Lleida",1,"35-44",0,0,1,0,129,728
"159",2016,"61","LLEIDA","05","Lleida",1,"35-44",0,0,1,1,144,1069
"160",2016,"61","LLEIDA","05","Lleida",1,"35-44",0,1,0,0,282,741
"161",2016,"61","LLEIDA","05","Lleida",1,"35-44",0,1,1,0,45,166
"162",2016,"61","LLEIDA","05","Lleida",1,"35-44",0,1,1,1,28,143
"163",2016,"61","LLEIDA","05","Lleida",1,"35-44",1,0,0,0,90,406
"164",2016,"61","LLEIDA","05","Lleida",1,"35-44",1,0,1,0,46,311
"165",2016,"61","LLEIDA","05","Lleida",1,"35-44",1,0,1,1,110,1075
"166",2016,"61","LLEIDA","05","Lleida",1,"35-44",1,1,0,0,73,160
"167",2016,"61","LLEIDA","05","Lleida",1,"35-44",1,1,1,0,15,34
"168",2016,"61","LLEIDA","05","Lleida",1,"35-44",1,1,1,1,25,151
"169",2016,"61","LLEIDA","05","Lleida",1,"45-54",0,0,0,0,286,1253
"170",2016,"61","LLEIDA","05","Lleida",1,"45-54",0,0,1,0,139,786
"171",2016,"61","LLEIDA","05","Lleida",1,"45-54",0,0,1,1,185,1335
"172",2016,"61","LLEIDA","05","Lleida",1,"45-54",0,1,0,0,249,646
"173",2016,"61","LLEIDA","05","Lleida",1,"45-54",0,1,1,0,49,178
"174",2016,"61","LLEIDA","05","Lleida",1,"45-54",0,1,1,1,33,101
"175",2016,"61","LLEIDA","05","Lleida",1,"45-54",1,0,0,0,115,604
"176",2016,"61","LLEIDA","05","Lleida",1,"45-54",1,0,1,0,60,399
"177",2016,"61","LLEIDA","05","Lleida",1,"45-54",1,0,1,1,156,1240
"178",2016,"61","LLEIDA","05","Lleida",1,"45-54",1,1,0,0,74,158
"179",2016,"61","LLEIDA","05","Lleida",1,"45-54",1,1,1,0,12,73
"180",2016,"61","LLEIDA","05","Lleida",1,"45-54",1,1,1,1,31,105
"181",2016,"61","LLEIDA","05","Lleida",1,"55-64",0,0,0,0,267,1086
"182",2016,"61","LLEIDA","05","Lleida",1,"55-64",0,0,1,0,112,602
"183",2016,"61","LLEIDA","05","Lleida",1,"55-64",0,0,1,1,184,1051
"184",2016,"61","LLEIDA","05","Lleida",1,"55-64",0,1,0,0,184,441
"185",2016,"61","LLEIDA","05","Lleida",1,"55-64",0,1,1,0,30,113
"186",2016,"61","LLEIDA","05","Lleida",1,"55-64",0,1,1,1,34,75
"187",2016,"61","LLEIDA","05","Lleida",1,"55-64",1,0,0,0,131,516
"188",2016,"61","LLEIDA","05","Lleida",1,"55-64",1,0,1,0,74,345
"189",2016,"61","LLEIDA","05","Lleida",1,"55-64",1,0,1,1,171,884
"190",2016,"61","LLEIDA","05","Lleida",1,"55-64",1,1,0,0,85,224
"191",2016,"61","LLEIDA","05","Lleida",1,"55-64",1,1,1,0,21,77
"192",2016,"61","LLEIDA","05","Lleida",1,"55-64",1,1,1,1,31,96
"193",2016,"61","LLEIDA","05","Lleida",1,"6-12",0,0,0,0,213,1239
"194",2016,"61","LLEIDA","05","Lleida",1,"6-12",0,0,1,0,46,334
"195",2016,"61","LLEIDA","05","Lleida",1,"6-12",0,0,1,1,6,61
"196",2016,"61","LLEIDA","05","Lleida",1,"6-12",0,1,0,0,140,559
"197",2016,"61","LLEIDA","05","Lleida",1,"6-12",0,1,1,0,11,39
"198",2016,"61","LLEIDA","05","Lleida",1,"6-12",0,1,1,1,1,5
"199",2016,"61","LLEIDA","05","Lleida",1,"6-12",1,0,0,0,72,420
"200",2016,"61","LLEIDA","05","Lleida",1,"6-12",1,0,1,0,23,188
"201",2016,"61","LLEIDA","05","Lleida",1,"6-12",1,0,1,1,6,71
"202",2016,"61","LLEIDA","05","Lleida",1,"6-12",1,1,0,0,58,257
"203",2016,"61","LLEIDA","05","Lleida",1,"6-12",1,1,1,0,11,104
"204",2016,"61","LLEIDA","05","Lleida",1,"6-12",1,1,1,1,3,22
"205",2016,"61","LLEIDA","05","Lleida",1,"65-74",0,0,0,0,125,422
"206",2016,"61","LLEIDA","05","Lleida",1,"65-74",0,0,1,0,53,207
"207",2016,"61","LLEIDA","05","Lleida",1,"65-74",0,0,1,1,150,677
"208",2016,"61","LLEIDA","05","Lleida",1,"65-74",0,1,0,0,84,198
"209",2016,"61","LLEIDA","05","Lleida",1,"65-74",0,1,1,0,11,30
"210",2016,"61","LLEIDA","05","Lleida",1,"65-74",0,1,1,1,38,100
"211",2016,"61","LLEIDA","05","Lleida",1,"65-74",1,0,0,0,106,330
"212",2016,"61","LLEIDA","05","Lleida",1,"65-74",1,0,1,0,47,182
"213",2016,"61","LLEIDA","05","Lleida",1,"65-74",1,0,1,1,138,630
"214",2016,"61","LLEIDA","05","Lleida",1,"65-74",1,1,0,0,60,154
"215",2016,"61","LLEIDA","05","Lleida",1,"65-74",1,1,1,0,8,18
"216",2016,"61","LLEIDA","05","Lleida",1,"65-74",1,1,1,1,36,127
"217",2016,"61","LLEIDA","05","Lleida",1,"75+",0,0,0,0,79,201
"218",2016,"61","LLEIDA","05","Lleida",1,"75+",0,0,1,0,22,63
"219",2016,"61","LLEIDA","05","Lleida",1,"75+",0,0,1,1,153,537
"220",2016,"61","LLEIDA","05","Lleida",1,"75+",0,1,0,0,51,103
"221",2016,"61","LLEIDA","05","Lleida",1,"75+",0,1,1,0,5,14
"222",2016,"61","LLEIDA","05","Lleida",1,"75+",0,1,1,1,58,139
"223",2016,"61","LLEIDA","05","Lleida",1,"75+",1,0,0,0,87,276
"224",2016,"61","LLEIDA","05","Lleida",1,"75+",1,0,1,0,20,81
"225",2016,"61","LLEIDA","05","Lleida",1,"75+",1,0,1,1,115,379
"226",2016,"61","LLEIDA","05","Lleida",1,"75+",1,1,0,0,34,78
"227",2016,"61","LLEIDA","05","Lleida",1,"75+",1,1,1,0,8,19
"228",2016,"61","LLEIDA","05","Lleida",1,"75+",1,1,1,1,33,106
"229",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"<6",0,1,0,0,3,3
"230",2016,"62","CAMP DE TARRAGONA","06","Alt Camp i Conca de Barberà",0,"<6",0,1,1,0,1,3
